# Format: Une ligne = une phrase OU une paire Q|R
# Exemples:
# Bonjour comment vas-tu|Je vais tres bien merci!
# La vie est belle et pleine de surprises.

# === SALUTATIONS ===
je suis motive 67|Parfait, c est le bon moment pour avancer.
j ai peur 67|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 67|Tant mieux, gardons ce rythme.
je suis confus 67|Pas de souci, clarifions ensemble.
je suis content 68|C est super a entendre!
je suis triste 68|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 68|Alors prends un moment pour souffler un peu.
je suis stresse 68|Respire calmement, une chose a la fois.
je suis en colere 68|Je comprends, prends quelques secondes pour te poser.
je m ennuie 68|On peut discuter ou trouver une idee a faire.
je suis motive 68|Parfait, c est le bon moment pour avancer.
j ai peur 68|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 68|Tant mieux, gardons ce rythme.
je suis confus 68|Pas de souci, clarifions ensemble.
je suis content 69|C est super a entendre!
je suis triste 69|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 69|Alors prends un moment pour souffler un peu.
je suis stresse 69|Respire calmement, une chose a la fois.
je suis en colere 69|Je comprends, prends quelques secondes pour te poser.
je m ennuie 69|On peut discuter ou trouver une idee a faire.
je suis motive 69|Parfait, c est le bon moment pour avancer.
j ai peur 69|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 69|Tant mieux, gardons ce rythme.
je suis confus 69|Pas de souci, clarifions ensemble.
je suis content 70|C est super a entendre!
je suis triste 70|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 70|Alors prends un moment pour souffler un peu.
je suis stresse 70|Respire calmement, une chose a la fois.
je suis en colere 70|Je comprends, prends quelques secondes pour te poser.
je m ennuie 70|On peut discuter ou trouver une idee a faire.
je suis motive 70|Parfait, c est le bon moment pour avancer.
j ai peur 70|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 70|Tant mieux, gardons ce rythme.
je suis confus 70|Pas de souci, clarifions ensemble.
je suis content 71|C est super a entendre!
je suis triste 71|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 71|Alors prends un moment pour souffler un peu.
je suis stresse 71|Respire calmement, une chose a la fois.
je suis en colere 71|Je comprends, prends quelques secondes pour te poser.
je m ennuie 71|On peut discuter ou trouver une idee a faire.
je suis motive 71|Parfait, c est le bon moment pour avancer.
j ai peur 71|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 71|Tant mieux, gardons ce rythme.
je suis confus 71|Pas de souci, clarifions ensemble.
je suis content 72|C est super a entendre!
je suis triste 72|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 72|Alors prends un moment pour souffler un peu.
je suis stresse 72|Respire calmement, une chose a la fois.
je suis en colere 72|Je comprends, prends quelques secondes pour te poser.
je m ennuie 72|On peut discuter ou trouver une idee a faire.
je suis motive 72|Parfait, c est le bon moment pour avancer.
j ai peur 72|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 72|Tant mieux, gardons ce rythme.
je suis confus 72|Pas de souci, clarifions ensemble.
je suis content 73|C est super a entendre!
je suis triste 73|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 73|Alors prends un moment pour souffler un peu.
je suis stresse 73|Respire calmement, une chose a la fois.
je suis en colere 73|Je comprends, prends quelques secondes pour te poser.
je m ennuie 73|On peut discuter ou trouver une idee a faire.
je suis motive 73|Parfait, c est le bon moment pour avancer.
j ai peur 73|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 73|Tant mieux, gardons ce rythme.
je suis confus 73|Pas de souci, clarifions ensemble.
je suis content 74|C est super a entendre!
je suis triste 74|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 74|Alors prends un moment pour souffler un peu.
je suis stresse 74|Respire calmement, une chose a la fois.
je suis en colere 74|Je comprends, prends quelques secondes pour te poser.
je m ennuie 74|On peut discuter ou trouver une idee a faire.
je suis motive 74|Parfait, c est le bon moment pour avancer.
j ai peur 74|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 74|Tant mieux, gardons ce rythme.
je suis confus 74|Pas de souci, clarifions ensemble.
je suis content 75|C est super a entendre!
je suis triste 75|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 75|Alors prends un moment pour souffler un peu.
je suis stresse 75|Respire calmement, une chose a la fois.
je suis en colere 75|Je comprends, prends quelques secondes pour te poser.
je m ennuie 75|On peut discuter ou trouver une idee a faire.
je suis motive 75|Parfait, c est le bon moment pour avancer.
j ai peur 75|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 75|Tant mieux, gardons ce rythme.
je suis confus 75|Pas de souci, clarifions ensemble.
je suis content 76|C est super a entendre!
je suis triste 76|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 76|Alors prends un moment pour souffler un peu.
je suis stresse 76|Respire calmement, une chose a la fois.
je suis en colere 76|Je comprends, prends quelques secondes pour te poser.
je m ennuie 76|On peut discuter ou trouver une idee a faire.
je suis motive 76|Parfait, c est le bon moment pour avancer.
j ai peur 76|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 76|Tant mieux, gardons ce rythme.
je suis confus 76|Pas de souci, clarifions ensemble.
je suis content 77|C est super a entendre!
je suis triste 77|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 77|Alors prends un moment pour souffler un peu.
je suis stresse 77|Respire calmement, une chose a la fois.
je suis en colere 77|Je comprends, prends quelques secondes pour te poser.
je m ennuie 77|On peut discuter ou trouver une idee a faire.
je suis motive 77|Parfait, c est le bon moment pour avancer.
j ai peur 77|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 77|Tant mieux, gardons ce rythme.
je suis confus 77|Pas de souci, clarifions ensemble.
je suis content 78|C est super a entendre!
je suis triste 78|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 78|Alors prends un moment pour souffler un peu.
je suis stresse 78|Respire calmement, une chose a la fois.
je suis en colere 78|Je comprends, prends quelques secondes pour te poser.
je m ennuie 78|On peut discuter ou trouver une idee a faire.
je suis motive 78|Parfait, c est le bon moment pour avancer.
j ai peur 78|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 78|Tant mieux, gardons ce rythme.
je suis confus 78|Pas de souci, clarifions ensemble.
je suis content 79|C est super a entendre!
je suis triste 79|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 79|Alors prends un moment pour souffler un peu.
je suis stresse 79|Respire calmement, une chose a la fois.
je suis en colere 79|Je comprends, prends quelques secondes pour te poser.
je m ennuie 79|On peut discuter ou trouver une idee a faire.
je suis motive 79|Parfait, c est le bon moment pour avancer.
j ai peur 79|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 79|Tant mieux, gardons ce rythme.
je suis confus 79|Pas de souci, clarifions ensemble.
je suis content 80|C est super a entendre!
je suis triste 80|Desole de l entendre. Si tu veux, on peut en parler.
je suis fatigue 80|Alors prends un moment pour souffler un peu.
je suis stresse 80|Respire calmement, une chose a la fois.
je suis en colere 80|Je comprends, prends quelques secondes pour te poser.
je m ennuie 80|On peut discuter ou trouver une idee a faire.
je suis motive 80|Parfait, c est le bon moment pour avancer.
j ai peur 80|C est normal parfois. Parle-moi de ce qui t inquiete.
je suis calme 80|Tant mieux, gardons ce rythme.
je suis confus 80|Pas de souci, clarifions ensemble.

# === PHRASES ===
La curiosite aide souvent a progresser numero 1.
Une petite pause peut faire du bien numero 2.
Chaque jour est une occasion d apprendre numero 3.
Les idees simples sont souvent efficaces numero 4.
Prendre son temps aide a mieux comprendre numero 5.
La pratique rend les choses plus faciles numero 6.
Un objectif clair aide a rester motive numero 7.
Faire un pas apres l autre suffit souvent numero 8.
Poser une question est deja un bon debut numero 9.
Le calme aide a voir plus clair numero 10.
La curiosite aide souvent a progresser numero 11.
Une petite pause peut faire du bien numero 12.
Chaque jour est une occasion d apprendre numero 13.
Les idees simples sont souvent efficaces numero 14.
Prendre son temps aide a mieux comprendre numero 15.
La pratique rend les choses plus faciles numero 16.
Un objectif clair aide a rester motive numero 17.
Faire un pas apres l autre suffit souvent numero 18.
Poser une question est deja un bon debut numero 19.
Le calme aide a voir plus clair numero 20.
La curiosite aide souvent a progresser numero 21.
Une petite pause peut faire du bien numero 22.
Chaque jour est une occasion d apprendre numero 23.
Les idees simples sont souvent efficaces numero 24.
Prendre son temps aide a mieux comprendre numero 25.
La pratique rend les choses plus faciles numero 26.
Un objectif clair aide a rester motive numero 27.
Faire un pas apres l autre suffit souvent numero 28.
Poser une question est deja un bon debut numero 29.
Le calme aide a voir plus clair numero 30.
La curiosite aide souvent a progresser numero 31.
Une petite pause peut faire du bien numero 32.
Chaque jour est une occasion d apprendre numero 33.
Les idees simples sont souvent efficaces numero 34.
Prendre son temps aide a mieux comprendre numero 35.
La pratique rend les choses plus faciles numero 36.
Un objectif clair aide a rester motive numero 37.
Faire un pas apres l autre suffit souvent numero 38.
Poser une question est deja un bon debut numero 39.
Le calme aide a voir plus clair numero 40.
La curiosite aide souvent a progresser numero 41.
Une petite pause peut faire du bien numero 42.
Chaque jour est une occasion d apprendre numero 43.
Les idees simples sont souvent efficaces numero 44.
Prendre son temps aide a mieux comprendre numero 45.
La pratique rend les choses plus faciles numero 46.
Un objectif clair aide a rester motive numero 47.
Faire un pas apres l autre suffit souvent numero 48.
Poser une question est deja un bon debut numero 49.
Le calme aide a voir plus clair numero 50.
La curiosite aide souvent a progresser numero 51.
Une petite pause peut faire du bien numero 52.
Chaque jour est une occasion d apprendre numero 53.
Les idees simples sont souvent efficaces numero 54.
Prendre son temps aide a mieux comprendre numero 55.
La pratique rend les choses plus faciles numero 56.
Un objectif clair aide a rester motive numero 57.
Faire un pas apres l autre suffit souvent numero 58.
Poser une question est deja un bon debut numero 59.
Le calme aide a voir plus clair numero 60.
La curiosite aide souvent a progresser numero 61.
Une petite pause peut faire du bien numero 62.
Chaque jour est une occasion d apprendre numero 63.
Les idees simples sont souvent efficaces numero 64.
Prendre son temps aide a mieux comprendre numero 65.
La pratique rend les choses plus faciles numero 66.
Un objectif clair aide a rester motive numero 67.
Faire un pas apres l autre suffit souvent numero 68.
Poser une question est deja un bon debut numero 69.
Le calme aide a voir plus clair numero 70.
La curiosite aide souvent a progresser numero 71.
Une petite pause peut faire du bien numero 72.
Chaque jour est une occasion d apprendre numero 73.
Les idees simples sont souvent efficaces numero 74.
Prendre son temps aide a mieux comprendre numero 75.
La pratique rend les choses plus faciles numero 76.
Un objectif clair aide a rester motive numero 77.
Faire un pas apres l autre suffit souvent numero 78.
Poser une question est deja un bon debut numero 79.
Le calme aide a voir plus clair numero 80.
La curiosite aide souvent a progresser numero 81.
Une petite pause peut faire du bien numero 82.
Chaque jour est une occasion d apprendre numero 83.
Les idees simples sont souvent efficaces numero 84.
Prendre son temps aide a mieux comprendre numero 85.
La pratique rend les choses plus faciles numero 86.
Un objectif clair aide a rester motive numero 87.
Faire un pas apres l autre suffit souvent numero 88.
Poser une question est deja un bon debut numero 89.
Le calme aide a voir plus clair numero 90.
La curiosite aide souvent a progresser numero 91.
Une petite pause peut faire du bien numero 92.
Chaque jour est une occasion d apprendre numero 93.
Les idees simples sont souvent efficaces numero 94.
Prendre son temps aide a mieux comprendre numero 95.
La pratique rend les choses plus faciles numero 96.
Un objectif clair aide a rester motive numero 97.
Faire un pas apres l autre suffit souvent numero 98.
Poser une question est deja un bon debut numero 99.
Le calme aide a voir plus clair numero 100.
La curiosite aide souvent a progresser numero 101.
Une petite pause peut faire du bien numero 102.
Chaque jour est une occasion d apprendre numero 103.
Les idees simples sont souvent efficaces numero 104.
Prendre son temps aide a mieux comprendre numero 105.
La pratique rend les choses plus faciles numero 106.
Un objectif clair aide a rester motive numero 107.
Faire un pas apres l autre suffit souvent numero 108.
Poser une question est deja un bon debut numero 109.
Le calme aide a voir plus clair numero 110.
La curiosite aide souvent a progresser numero 111.
Une petite pause peut faire du bien numero 112.
Chaque jour est une occasion d apprendre numero 113.
Les idees simples sont souvent efficaces numero 114.
Prendre son temps aide a mieux comprendre numero 115.
La pratique rend les choses plus faciles numero 116.
Un objectif clair aide a rester motive numero 117.
Faire un pas apres l autre suffit souvent numero 118.
Poser une question est deja un bon debut numero 119.
Le calme aide a voir plus clair numero 120.
La curiosite aide souvent a progresser numero 121.
Une petite pause peut faire du bien numero 122.
Chaque jour est une occasion d apprendre numero 123.
Les idees simples sont souvent efficaces numero 124.
Prendre son temps aide a mieux comprendre numero 125.
La pratique rend les choses plus faciles numero 126.
Un objectif clair aide a rester motive numero 127.
Faire un pas apres l autre suffit souvent numero 128.
Poser une question est deja un bon debut numero 129.
Le calme aide a voir plus clair numero 130.
La curiosite aide souvent a progresser numero 131.
Une petite pause peut faire du bien numero 132.
Chaque jour est une occasion d apprendre numero 133.
Les idees simples sont souvent efficaces numero 134.
Prendre son temps aide a mieux comprendre numero 135.
La pratique rend les choses plus faciles numero 136.
Un objectif clair aide a rester motive numero 137.
Faire un pas apres l autre suffit souvent numero 138.
Poser une question est deja un bon debut numero 139.
Le calme aide a voir plus clair numero 140.
La curiosite aide souvent a progresser numero 141.
Une petite pause peut faire du bien numero 142.
Chaque jour est une occasion d apprendre numero 143.
Les idees simples sont souvent efficaces numero 144.
Prendre son temps aide a mieux comprendre numero 145.
La pratique rend les choses plus faciles numero 146.
Un objectif clair aide a rester motive numero 147.
Faire un pas apres l autre suffit souvent numero 148.
Poser une question est deja un bon debut numero 149.
Le calme aide a voir plus clair numero 150.
La curiosite aide souvent a progresser numero 151.
Une petite pause peut faire du bien numero 152.
Chaque jour est une occasion d apprendre numero 153.
Les idees simples sont souvent efficaces numero 154.
Prendre son temps aide a mieux comprendre numero 155.
La pratique rend les choses plus faciles numero 156.
Un objectif clair aide a rester motive numero 157.
Faire un pas apres l autre suffit souvent numero 158.
Poser une question est deja un bon debut numero 159.
Le calme aide a voir plus clair numero 160.
La curiosite aide souvent a progresser numero 161.
Une petite pause peut faire du bien numero 162.
Chaque jour est une occasion d apprendre numero 163.
Les idees simples sont souvent efficaces numero 164.
Prendre son temps aide a mieux comprendre numero 165.
La pratique rend les choses plus faciles numero 166.
Un objectif clair aide a rester motive numero 167.
Faire un pas apres l autre suffit souvent numero 168.
Poser une question est deja un bon debut numero 169.
Le calme aide a voir plus clair numero 170.
La curiosite aide souvent a progresser numero 171.
Une petite pause peut faire du bien numero 172.
Chaque jour est une occasion d apprendre numero 173.
Les idees simples sont souvent efficaces numero 174.
Prendre son temps aide a mieux comprendre numero 175.
La pratique rend les choses plus faciles numero 176.
Un objectif clair aide a rester motive numero 177.
Faire un pas apres l autre suffit souvent numero 178.
Poser une question est deja un bon debut numero 179.
Le calme aide a voir plus clair numero 180.
La curiosite aide souvent a progresser numero 181.
Une petite pause peut faire du bien numero 182.
Chaque jour est une occasion d apprendre numero 183.
Les idees simples sont souvent efficaces numero 184.
Prendre son temps aide a mieux comprendre numero 185.
La pratique rend les choses plus faciles numero 186.
Un objectif clair aide a rester motive numero 187.
Faire un pas apres l autre suffit souvent numero 188.
Poser une question est deja un bon debut numero 189.
Le calme aide a voir plus clair numero 190.
La curiosite aide souvent a progresser numero 191.
Une petite pause peut faire du bien numero 192.
Chaque jour est une occasion d apprendre numero 193.
Les idees simples sont souvent efficaces numero 194.
Prendre son temps aide a mieux comprendre numero 195.
La pratique rend les choses plus faciles numero 196.
Un objectif clair aide a rester motive numero 197.
Faire un pas apres l autre suffit souvent numero 198.
Poser une question est deja un bon debut numero 199.
Le calme aide a voir plus clair numero 200.
La curiosite aide souvent a progresser numero 201.
Une petite pause peut faire du bien numero 202.
Chaque jour est une occasion d apprendre numero 203.
Les idees simples sont souvent efficaces numero 204.
Prendre son temps aide a mieux comprendre numero 205.
La pratique rend les choses plus faciles numero 206.
Un objectif clair aide a rester motive numero 207.
Faire un pas apres l autre suffit souvent numero 208.
Poser une question est deja un bon debut numero 209.
Le calme aide a voir plus clair numero 210.
La curiosite aide souvent a progresser numero 211.
Une petite pause peut faire du bien numero 212.
Chaque jour est une occasion d apprendre numero 213.
Les idees simples sont souvent efficaces numero 214.
Prendre son temps aide a mieux comprendre numero 215.
La pratique rend les choses plus faciles numero 216.
Un objectif clair aide a rester motive numero 217.
Faire un pas apres l autre suffit souvent numero 218.
Poser une question est deja un bon debut numero 219.
Le calme aide a voir plus clair numero 220.
La curiosite aide souvent a progresser numero 221.
Une petite pause peut faire du bien numero 222.
Chaque jour est une occasion d apprendre numero 223.
Les idees simples sont souvent efficaces numero 224.
Prendre son temps aide a mieux comprendre numero 225.
La pratique rend les choses plus faciles numero 226.
Un objectif clair aide a rester motive numero 227.
Faire un pas apres l autre suffit souvent numero 228.
Poser une question est deja un bon debut numero 229.
Le calme aide a voir plus clair numero 230.
La curiosite aide souvent a progresser numero 231.
Une petite pause peut faire du bien numero 232.
Chaque jour est une occasion d apprendre numero 233.
Les idees simples sont souvent efficaces numero 234.
Prendre son temps aide a mieux comprendre numero 235.
La pratique rend les choses plus faciles numero 236.
Un objectif clair aide a rester motive numero 237.
Faire un pas apres l autre suffit souvent numero 238.
Poser une question est deja un bon debut numero 239.
Le calme aide a voir plus clair numero 240.
La curiosite aide souvent a progresser numero 241.
Une petite pause peut faire du bien numero 242.
Chaque jour est une occasion d apprendre numero 243.
Les idees simples sont souvent efficaces numero 244.
Prendre son temps aide a mieux comprendre numero 245.
La pratique rend les choses plus faciles numero 246.
Un objectif clair aide a rester motive numero 247.
Faire un pas apres l autre suffit souvent numero 248.
Poser une question est deja un bon debut numero 249.
Le calme aide a voir plus clair numero 250.
La curiosite aide souvent a progresser numero 251.
Une petite pause peut faire du bien numero 252.
Chaque jour est une occasion d apprendre numero 253.
Les idees simples sont souvent efficaces numero 254.
Prendre son temps aide a mieux comprendre numero 255.
La pratique rend les choses plus faciles numero 256.
Un objectif clair aide a rester motive numero 257.
Faire un pas apres l autre suffit souvent numero 258.
Poser une question est deja un bon debut numero 259.
Le calme aide a voir plus clair numero 260.
La curiosite aide souvent a progresser numero 261.
Une petite pause peut faire du bien numero 262.
Chaque jour est une occasion d apprendre numero 263.
Les idees simples sont souvent efficaces numero 264.
Prendre son temps aide a mieux comprendre numero 265.
La pratique rend les choses plus faciles numero 266.
Un objectif clair aide a rester motive numero 267.
Faire un pas apres l autre suffit souvent numero 268.
Poser une question est deja un bon debut numero 269.
Le calme aide a voir plus clair numero 270.
La curiosite aide souvent a progresser numero 271.
Une petite pause peut faire du bien numero 272.
Chaque jour est une occasion d apprendre numero 273.
Les idees simples sont souvent efficaces numero 274.
Prendre son temps aide a mieux comprendre numero 275.
La pratique rend les choses plus faciles numero 276.
Un objectif clair aide a rester motive numero 277.
Faire un pas apres l autre suffit souvent numero 278.
Poser une question est deja un bon debut numero 279.
Le calme aide a voir plus clair numero 280.
La curiosite aide souvent a progresser numero 281.
Une petite pause peut faire du bien numero 282.
Chaque jour est une occasion d apprendre numero 283.
Les idees simples sont souvent efficaces numero 284.
Prendre son temps aide a mieux comprendre numero 285.
La pratique rend les choses plus faciles numero 286.
Un objectif clair aide a rester motive numero 287.
Faire un pas apres l autre suffit souvent numero 288.
Poser une question est deja un bon debut numero 289.
Le calme aide a voir plus clair numero 290.
La curiosite aide souvent a progresser numero 291.
Une petite pause peut faire du bien numero 292.
Chaque jour est une occasion d apprendre numero 293.
Les idees simples sont souvent efficaces numero 294.
Prendre son temps aide a mieux comprendre numero 295.
La pratique rend les choses plus faciles numero 296.
Un objectif clair aide a rester motive numero 297.
Faire un pas apres l autre suffit souvent numero 298.
Poser une question est deja un bon debut numero 299.
Le calme aide a voir plus clair numero 300.
La curiosite aide souvent a progresser numero 301.
Une petite pause peut faire du bien numero 302.
Chaque jour est une occasion d apprendre numero 303.
Les idees simples sont souvent efficaces numero 304.
Prendre son temps aide a mieux comprendre numero 305.
La pratique rend les choses plus faciles numero 306.
Un objectif clair aide a rester motive numero 307.
Faire un pas apres l autre suffit souvent numero 308.
Poser une question est deja un bon debut numero 309.
Le calme aide a voir plus clair numero 310.
La curiosite aide souvent a progresser numero 311.
Une petite pause peut faire du bien numero 312.
Chaque jour est une occasion d apprendre numero 313.
Les idees simples sont souvent efficaces numero 314.
Prendre son temps aide a mieux comprendre numero 315.
La pratique rend les choses plus faciles numero 316.
Un objectif clair aide a rester motive numero 317.
Faire un pas apres l autre suffit souvent numero 318.
Poser une question est deja un bon debut numero 319.
Le calme aide a voir plus clair numero 320.
La curiosite aide souvent a progresser numero 321.
Une petite pause peut faire du bien numero 322.
Chaque jour est une occasion d apprendre numero 323.
Les idees simples sont souvent efficaces numero 324.
Prendre son temps aide a mieux comprendre numero 325.
La pratique rend les choses plus faciles numero 326.
Un objectif clair aide a rester motive numero 327.
Faire un pas apres l autre suffit souvent numero 328.
Poser une question est deja un bon debut numero 329.
Le calme aide a voir plus clair numero 330.
La curiosite aide souvent a progresser numero 331.
Une petite pause peut faire du bien numero 332.
Chaque jour est une occasion d apprendre numero 333.
Les idees simples sont souvent efficaces numero 334.
Prendre son temps aide a mieux comprendre numero 335.
La pratique rend les choses plus faciles numero 336.
Un objectif clair aide a rester motive numero 337.
Faire un pas apres l autre suffit souvent numero 338.
Poser une question est deja un bon debut numero 339.
Le calme aide a voir plus clair numero 340.
La curiosite aide souvent a progresser numero 341.
Une petite pause peut faire du bien numero 342.
Chaque jour est une occasion d apprendre numero 343.
Les idees simples sont souvent efficaces numero 344.
Prendre son temps aide a mieux comprendre numero 345.
La pratique rend les choses plus faciles numero 346.
Un objectif clair aide a rester motive numero 347.
Faire un pas apres l autre suffit souvent numero 348.
Poser une question est deja un bon debut numero 349.
Le calme aide a voir plus clair numero 350.
La curiosite aide souvent a progresser numero 351.
Une petite pause peut faire du bien numero 352.
Chaque jour est une occasion d apprendre numero 353.
Les idees simples sont souvent efficaces numero 354.
Prendre son temps aide a mieux comprendre numero 355.
La pratique rend les choses plus faciles numero 356.
Un objectif clair aide a rester motive numero 357.
Faire un pas apres l autre suffit souvent numero 358.
Poser une question est deja un bon debut numero 359.
Le calme aide a voir plus clair numero 360.
La curiosite aide souvent a progresser numero 361.
Une petite pause peut faire du bien numero 362.
Chaque jour est une occasion d apprendre numero 363.
Les idees simples sont souvent efficaces numero 364.
Prendre son temps aide a mieux comprendre numero 365.
La pratique rend les choses plus faciles numero 366.
Un objectif clair aide a rester motive numero 367.
Faire un pas apres l autre suffit souvent numero 368.
Poser une question est deja un bon debut numero 369.
Le calme aide a voir plus clair numero 370.
La curiosite aide souvent a progresser numero 371.
Une petite pause peut faire du bien numero 372.
Chaque jour est une occasion d apprendre numero 373.
Les idees simples sont souvent efficaces numero 374.
Prendre son temps aide a mieux comprendre numero 375.
La pratique rend les choses plus faciles numero 376.
Un objectif clair aide a rester motive numero 377.
Faire un pas apres l autre suffit souvent numero 378.
Poser une question est deja un bon debut numero 379.
Le calme aide a voir plus clair numero 380.
La curiosite aide souvent a progresser numero 381.
Une petite pause peut faire du bien numero 382.
Chaque jour est une occasion d apprendre numero 383.
Les idees simples sont souvent efficaces numero 384.
Prendre son temps aide a mieux comprendre numero 385.
La pratique rend les choses plus faciles numero 386.
Un objectif clair aide a rester motive numero 387.
Faire un pas apres l autre suffit souvent numero 388.
Poser une question est deja un bon debut numero 389.
Le calme aide a voir plus clair numero 390.
La curiosite aide souvent a progresser numero 391.
Une petite pause peut faire du bien numero 392.
Chaque jour est une occasion d apprendre numero 393.
Les idees simples sont souvent efficaces numero 394.
Prendre son temps aide a mieux comprendre numero 395.
La pratique rend les choses plus faciles numero 396.
Un objectif clair aide a rester motive numero 397.
Faire un pas apres l autre suffit souvent numero 398.
Poser une question est deja un bon debut numero 399.
Le calme aide a voir plus clair numero 400.
La curiosite aide souvent a progresser numero 401.
Une petite pause peut faire du bien numero 402.
Chaque jour est une occasion d apprendre numero 403.
Les idees simples sont souvent efficaces numero 404.
Prendre son temps aide a mieux comprendre numero 405.
La pratique rend les choses plus faciles numero 406.
Un objectif clair aide a rester motive numero 407.
Faire un pas apres l autre suffit souvent numero 408.
Poser une question est deja un bon debut numero 409.
Le calme aide a voir plus clair numero 410.
La curiosite aide souvent a progresser numero 411.
Une petite pause peut faire du bien numero 412.
Chaque jour est une occasion d apprendre numero 413.
Les idees simples sont souvent efficaces numero 414.
Prendre son temps aide a mieux comprendre numero 415.
La pratique rend les choses plus faciles numero 416.
Un objectif clair aide a rester motive numero 417.
Faire un pas apres l autre suffit souvent numero 418.
Poser une question est deja un bon debut numero 419.
Le calme aide a voir plus clair numero 420.
La curiosite aide souvent a progresser numero 421.
Une petite pause peut faire du bien numero 422.
Chaque jour est une occasion d apprendre numero 423.
Les idees simples sont souvent efficaces numero 424.
Prendre son temps aide a mieux comprendre numero 425.
La pratique rend les choses plus faciles numero 426.
Un objectif clair aide a rester motive numero 427.
Faire un pas apres l autre suffit souvent numero 428.
Poser une question est deja un bon debut numero 429.
Le calme aide a voir plus clair numero 430.
La curiosite aide souvent a progresser numero 431.
Une petite pause peut faire du bien numero 432.
Chaque jour est une occasion d apprendre numero 433.
Les idees simples sont souvent efficaces numero 434.
Prendre son temps aide a mieux comprendre numero 435.
La pratique rend les choses plus faciles numero 436.
Un objectif clair aide a rester motive numero 437.
Faire un pas apres l autre suffit souvent numero 438.
Poser une question est deja un bon debut numero 439.
Le calme aide a voir plus clair numero 440.
La curiosite aide souvent a progresser numero 441.
Une petite pause peut faire du bien numero 442.
Chaque jour est une occasion d apprendre numero 443.
Les idees simples sont souvent efficaces numero 444.
Prendre son temps aide a mieux comprendre numero 445.
La pratique rend les choses plus faciles numero 446.
Un objectif clair aide a rester motive numero 447.
Faire un pas apres l autre suffit souvent numero 448.
Poser une question est deja un bon debut numero 449.
Le calme aide a voir plus clair numero 450.
La curiosite aide souvent a progresser numero 451.
Une petite pause peut faire du bien numero 452.
Chaque jour est une occasion d apprendre numero 453.
Les idees simples sont souvent efficaces numero 454.
Prendre son temps aide a mieux comprendre numero 455.
La pratique rend les choses plus faciles numero 456.
Un objectif clair aide a rester motive numero 457.
Faire un pas apres l autre suffit souvent numero 458.
Poser une question est deja un bon debut numero 459.
Le calme aide a voir plus clair numero 460.
La curiosite aide souvent a progresser numero 461.
Une petite pause peut faire du bien numero 462.
Chaque jour est une occasion d apprendre numero 463.
Les idees simples sont souvent efficaces numero 464.
Prendre son temps aide a mieux comprendre numero 465.
La pratique rend les choses plus faciles numero 466.
Un objectif clair aide a rester motive numero 467.
Faire un pas apres l autre suffit souvent numero 468.
Poser une question est deja un bon debut numero 469.
Le calme aide a voir plus clair numero 470.
La curiosite aide souvent a progresser numero 471.
Une petite pause peut faire du bien numero 472.
Chaque jour est une occasion d apprendre numero 473.
Les idees simples sont souvent efficaces numero 474.
Prendre son temps aide a mieux comprendre numero 475.
La pratique rend les choses plus faciles numero 476.
Un objectif clair aide a rester motive numero 477.
Faire un pas apres l autre suffit souvent numero 478.
Poser une question est deja un bon debut numero 479.
Le calme aide a voir plus clair numero 480.
La curiosite aide souvent a progresser numero 481.
Une petite pause peut faire du bien numero 482.
Chaque jour est une occasion d apprendre numero 483.
Les idees simples sont souvent efficaces numero 484.
Prendre son temps aide a mieux comprendre numero 485.
La pratique rend les choses plus faciles numero 486.
Un objectif clair aide a rester motive numero 487.
Faire un pas apres l autre suffit souvent numero 488.
Poser une question est deja un bon debut numero 489.
Le calme aide a voir plus clair numero 490.
La curiosite aide souvent a progresser numero 491.
Une petite pause peut faire du bien numero 492.
Chaque jour est une occasion d apprendre numero 493.
Les idees simples sont souvent efficaces numero 494.
Prendre son temps aide a mieux comprendre numero 495.
La pratique rend les choses plus faciles numero 496.
Un objectif clair aide a rester motive numero 497.
Faire un pas apres l autre suffit souvent numero 498.
Poser une question est deja un bon debut numero 499.
